Country,Response_measure,change,date_start,date_end
Austria,AdaptationOfWorkplace,1,20200310,
Austria,ClosDaycare,1,20200316,20200504
Austria,ClosHigh,1,20200316,20200930
Austria,ClosPrim,1,20200316,20200518
Austria,ClosPubAny,1,20200316,20200413
Austria,ClosPubAnyPartial,1,20200414,
Austria,ClosSec,1,20200316,20200503
Austria,ClosSecPartial,1,20200504,20200603
Austria,EntertainmentVenues,1,20200316,20200430
Austria,EntertainmentVenuesPartial,1,20200501,20200529
Austria,GymsSportsCentres,1,20200316,20200430
Austria,GymsSportsCentresPartial,1,20200501,20200529
Austria,HotelsOtherAccommodation,1,20200331,20200529
Austria,IndoorOver100,1,20200310,20200315
Austria,IndoorOver100,3,20200501,20200701
Austria,IndoorOver1000,1,20200702,20200731
Austria,IndoorOver1000,3,20200921,
Austria,IndoorOver5,1,20200316,20200430
Austria,MasksMandatoryAllSpaces,1,20200914,
Austria,MasksMandatoryClosedSpaces,1,20200406,20200614
Austria,MasksMandatoryClosedSpacesPartial,1,20200615,20200913
Austria,MasksVoluntaryClosedSpacesPartial,1,20200331,20200405
Austria,MassGatherAll,1,20200310,20200731
Austria,MassGatherAll,3,20200921,
Austria,NonEssentialShops,1,20200316,20200413
Austria,NonEssentialShopsPartial,1,20200414,20200501
Austria,OutdoorOver1000,1,20200702,20200731
Austria,OutdoorOver1000,3,20200921,
Austria,OutdoorOver5,1,20200316,20200430
Austria,OutdoorOver50,1,20200501,20200529
Austria,OutdoorOver500,1,20200310,20200315
Austria,OutdoorOver500,3,20200530,20200701
Austria,PlaceOfWorship,1,20200316,20200514
Austria,PlaceOfWorshipPartial,1,20200515,
Austria,RestaurantsCafes,1,20200316,20200515
Austria,StayHomeGen,1,20200310,20200315
Austria,StayHomeOrder,1,20200316,20200430
Austria,Teleworking,1,20200310,
Belgium,ClosDaycare,1,20200501,20200602
Belgium,ClosHigh,1,20200313,
Belgium,ClosPrim,1,20200313,20200517
Belgium,ClosPrimPartial,1,20200518,20200608
Belgium,ClosPubAny,1,20200313,20200503
Belgium,ClosPubAnyPartial,1,20200504,
Belgium,ClosSec,1,20200313,20200517
Belgium,ClosSecPartial,1,20200518,20200828
Belgium,EntertainmentVenues,1,20200313,20200517
Belgium,EntertainmentVenuesPartial,1,20200518,
Belgium,GymsSportsCentres,1,20200313,20200503
Belgium,GymsSportsCentresPartial,1,20200504,20200701
Belgium,IndoorOver1000,1,20200310,20200317
Belgium,IndoorOver5,1,20200318,20200630
Belgium,IndoorOver500,1,20200701,
Belgium,MasksMandatoryAllSpaces,1,20200711,20200930
Belgium,MasksMandatoryClosedSpaces,1,20200504,
Belgium,MasksVoluntaryAllSpaces,1,20200504,20200710
Belgium,MasksVoluntaryAllSpacesPartial,1,20201001,
Belgium,MassGatherAll,1,20200310,
Belgium,NonEssentialShops,1,20200313,20200503
Belgium,NonEssentialShopsPartial,1,20200504,20200602
Belgium,OutdoorOver5,1,20200318,20200630
Belgium,OutdoorOver500,1,20200701,
Belgium,PlaceOfWorship,1,20200313,20200607
Belgium,PlaceOfWorshipPartial,1,20200608,20201005
Belgium,RestaurantsCafes,1,20200313,20200608
Belgium,SocialCircle,1,20200318,
Belgium,StayHomeGenPartial,1,20200511,20200831
Belgium,StayHomeOrder,1,20200318,20200510
Belgium,Teleworking,1,20200310,20200607
Belgium,TeleworkingPartial,1,20200608,
Bulgaria,ClosDaycare,1,20200313,20200521
Bulgaria,ClosDaycarePartial,1,20200522,20200614
Bulgaria,ClosHigh,1,20200313,20200531
Bulgaria,ClosHighPartial,1,20200601,
Bulgaria,ClosPrim,1,20200313,
Bulgaria,ClosPubAny,1,20200313,20200517
Bulgaria,ClosPubAnyPartial,1,20200518,
Bulgaria,ClosSec,1,20200313,
Bulgaria,EntertainmentVenues,1,20200313,20200517
Bulgaria,EntertainmentVenuesPartial,1,20200518,
Bulgaria,GymsSportsCentres,1,20200313,20200531
Bulgaria,GymsSportsCentresPartial,1,20200601,20200614
Bulgaria,IndoorOver5,1,20200313,20200630
Bulgaria,MasksMandatoryAllSpaces,1,20200330,20200331
Bulgaria,MasksMandatoryAllSpaces,3,20200412,20200614
Bulgaria,MasksMandatoryAllSpacesPartial,1,20200615,
Bulgaria,MassGatherAllPartial,1,20200313,20200630
Bulgaria,NonEssentialShops,1,20200313,20200517
Bulgaria,NonEssentialShopsPartial,1,20200518,
Bulgaria,OutdoorOver5,1,20200313,20200630
Bulgaria,RestaurantsCafes,1,20200313,20200531
Bulgaria,RestaurantsCafesPartial,1,20200601,
Bulgaria,StayHomeRiskG,1,20200317,
Bulgaria,Teleworking,1,20200313,
Croatia,ClosDaycare,1,20200316,20200511
Croatia,ClosHigh,1,20200316,
Croatia,ClosPrim,1,20200316,20200510
Croatia,ClosPrimPartial,1,20200511,20200525
Croatia,ClosPubAny,1,20200319,20200528
Croatia,ClosPubAnyPartial,1,20200814,20200922
Croatia,ClosSec,1,20200316,
Croatia,ClosureOfPublicTransport,1,20200322,20200427
Croatia,EntertainmentVenues,1,20200319,20200528
Croatia,GymsSportsCentres,1,20200319,20200511
Croatia,IndoorOver5,1,20200319,
Croatia,MasksMandatoryAllSpaces,1,20200228,
Croatia,MasksMandatoryClosedSpacesPartial,1,20200625,
Croatia,MassGatherAll,1,20200319,20200823
Croatia,MassGatherAllPartial,1,20200824,
Croatia,NonEssentialShops,1,20200319,20200427
Croatia,OutdoorOver5,1,20200319,20200517
Croatia,OutdoorOver50,1,20200518,20200527
Croatia,OutdoorOver50,3,20200824,
Croatia,RestaurantsCafes,1,20200319,20200511
Croatia,RestaurantsCafesPartial,1,20200814,20200922
Croatia,StayHomeGen,1,20200317,20200505
Croatia,StayHomeRiskG,1,20200303,
Croatia,Teleworking,1,20200319,20200527
Cyprus,ClosDaycare,1,20200310,20200609
Cyprus,ClosHigh,1,20200310,20200511
Cyprus,ClosPrim,1,20200310,20200521
Cyprus,ClosPubAny,1,20200313,20200503
Cyprus,ClosPubAnyPartial,1,20200504,20200629
Cyprus,ClosSec,1,20200310,20200510
Cyprus,ClosSecPartial,1,20200511,20200521
Cyprus,EntertainmentVenues,1,20200316,20200520
Cyprus,EntertainmentVenuesPartial,1,20200521,20200629
Cyprus,GymsSportsCentres,1,20200313,20200503
Cyprus,GymsSportsCentresPartial,1,20200504,20200613
Cyprus,HotelsOtherAccommodation,1,20200316,20200503
Cyprus,HotelsOtherAccommodationPartial,1,20200504,20200609
Cyprus,IndoorOver100,1,20200712,
Cyprus,IndoorOver50,1,20200310,20200711
Cyprus,MasksMandatoryClosedSpaces,1,20200504,
Cyprus,MassGatherAll,1,20200310,
Cyprus,NonEssentialShops,1,20200316,20200503
Cyprus,NonEssentialShopsPartial,1,20200504,20200609
Cyprus,OutdoorOver100,1,20200712,
Cyprus,OutdoorOver5,1,20200310,20200624
Cyprus,OutdoorOver50,1,20200625,20200711
Cyprus,PlaceOfWorship,1,20200316,20200503
Cyprus,PlaceOfWorshipPartial,1,20200504,20200601
Cyprus,RestaurantsCafes,1,20200316,20200520
Cyprus,RestaurantsCafesPartial,1,20200521,20200609
Cyprus,StayHomeOrder,1,20200324,20200503
Cyprus,StayHomeOrderPartial,1,20200504,20200521
Cyprus,WorkplaceClosures,1,20200316,20200414
Cyprus,WorkplaceClosuresPartial,1,20200415,20200629
Czechia,AdaptationOfWorkplace,1,20200324,20200511
Czechia,ClosDaycare,1,20200311,20200511
Czechia,ClosHigh,1,20200311,20200510
Czechia,ClosHighPartial,1,20200511,20200831
Czechia,ClosPrim,1,20200311,20200607
Czechia,ClosPrimPartial,1,20200608,20200831
Czechia,ClosPubAnyPartial,1,20200310,
Czechia,ClosSec,1,20200311,20200607
Czechia,ClosSecPartial,1,20200608,20200831
Czechia,EntertainmentVenuesPartial,1,20200313,
Czechia,GymsSportsCentres,1,20200313,20200426
Czechia,GymsSportsCentresPartial,1,20200427,
Czechia,IndoorOver5,1,20200323,20200420
Czechia,IndoorOver50,1,20200312,20200322
Czechia,IndoorOver50,3,20200421,20200511
Czechia,IndoorOver500,1,20200304,20200311
Czechia,IndoorOver500,3,20200901,
Czechia,MasksMandatoryAllSpaces,1,20200319,20200510
Czechia,MasksMandatoryAllSpacesPartial,1,20200511,20200703
Czechia,MasksMandatoryClosedSpaces,1,20200725,
Czechia,MasksVoluntaryAllSpaces,1,20200704,20200831
Czechia,MassGatherAll,1,20200304,20200511
Czechia,MassGatherAll,3,20200901,
Czechia,NonEssentialShops,1,20200314,20200511
Czechia,OutdoorOver1000,1,20200901,
Czechia,OutdoorOver5,1,20200323,20200420
Czechia,OutdoorOver50,1,20200312,20200322
Czechia,OutdoorOver50,3,20200421,20200511
Czechia,OutdoorOver500,1,20200304,20200311
Czechia,PlaceOfWorshipPartial,1,20200310,
Czechia,RestaurantsCafes,1,20200314,20200511
Czechia,StayHomeOrder,1,20200316,20200424
Denmark,AdaptationOfWorkplace,1,20200508,20200519
Denmark,AdaptationOfWorkplacePartial,1,20200520,
Denmark,ClosDaycare,1,20200316,20200415
Denmark,ClosHigh,1,20200316,20200731
Denmark,ClosPrim,1,20200316,20200415
Denmark,ClosPubAny,1,20200318,20200420
Denmark,ClosPubAnyPartial,1,20200421,
Denmark,ClosSec,1,20200316,20200518
Denmark,EntertainmentVenues,1,20200318,20200608
Denmark,GymsSportsCentres,1,20200318,20200608
Denmark,IndoorOver100,1,20200314,20200317
Denmark,IndoorOver5,1,20200318,20200608
Denmark,IndoorOver50,1,20200609,20200831
Denmark,MasksMandatoryClosedSpaces,1,20200822,
Denmark,MasksVoluntaryAllSpacesPartial,1,20200709,
Denmark,MassGatherAll,1,20200314,20200614
Denmark,MassGatherAllPartial,1,20200615,
Denmark,NonEssentialShops,1,20200318,20200420
Denmark,NonEssentialShopsPartial,1,20200421,
Denmark,OutdoorOver100,1,20200615,
Denmark,OutdoorOver5,1,20200318,20200608
Denmark,OutdoorOver500,1,20200609,20200614
Denmark,PlaceOfWorship,1,20200318,20200518
Denmark,RestaurantsCafes,1,20200318,20200518
Denmark,RestaurantsCafes,3,20200821,20200916
Denmark,RestaurantsCafesPartial,1,20200917,
Denmark,StayHomeRiskG,1,20200314,
Denmark,Teleworking,1,20200313,20200614
Denmark,TeleworkingPartial,1,20200615,
Denmark,WorkplaceClosures,1,20200313,20200510
Estonia,ClosHigh,1,20200316,20200517
Estonia,ClosPrim,1,20200316,20200517
Estonia,ClosPubAny,1,20200312,20200516
Estonia,ClosPubAnyPartial,1,20200517,20200701
Estonia,ClosSec,1,20200316,20200517
Estonia,EntertainmentVenues,1,20200312,20200516
Estonia,EntertainmentVenuesPartial,1,20200517,20200701
Estonia,GymsSportsCentres,1,20200316,20200517
Estonia,IndoorOver100,1,20200601,20200714
Estonia,IndoorOver1000,1,20200715,20200731
Estonia,IndoorOver5,1,20200312,20200517
Estonia,IndoorOver50,1,20200518,20200531
Estonia,IndoorOver500,1,20200929,
Estonia,MasksVoluntaryAllSpaces,1,20200312,20200516
Estonia,MasksVoluntaryAllSpacesPartial,1,20200517,20200731
Estonia,MassGatherAll,1,20200312,20200531
Estonia,MassGatherAll,3,20200801,
Estonia,MassGatherAllPartial,1,20200601,20200731
Estonia,NonEssentialShops,1,20200327,20200517
Estonia,OutdoorOver100,1,20200518,20200630
Estonia,OutdoorOver1000,1,20200701,
Estonia,OutdoorOver5,1,20200312,20200517
Estonia,PlaceOfWorship,1,20200312,20200510
Estonia,StayHomeGen,1,20200312,20200517
Estonia,Teleworking,1,20200316,
Finland,ClosHigh,1,20200318,20200804
Finland,ClosPrim,1,20200318,20200514
Finland,ClosPubAny,1,20200318,20200531
Finland,ClosPubAnyPartial,1,20200601,
Finland,ClosSec,1,20200318,20200804
Finland,EntertainmentVenues,1,20200318,20200531
Finland,EntertainmentVenuesPartial,1,20200601,
Finland,GymsSportsCentres,1,20200318,20200601
Finland,IndoorOver50,1,20200318,20200731
Finland,IndoorOver500,1,20200312,20200317
Finland,IndoorOver500,3,20200801,
Finland,MasksVoluntaryClosedSpaces,1,20200918,
Finland,MasksVoluntaryClosedSpacesPartial,1,20200813,20200917
Finland,MassGatherAll,1,20200312,20200630
Finland,MassGatherAllPartial,1,20200701,
Finland,OutdoorOver50,1,20200318,20200731
Finland,OutdoorOver500,1,20200312,20200317
Finland,OutdoorOver500,3,20200801,
Finland,RestaurantsCafes,1,20200318,20200531
Finland,RestaurantsCafesPartial,1,20200601,20200713
Finland,RestaurantsCafesPartial,3,20201001,
Finland,StayHomeRiskG,1,20200316,20200622
Finland,StayHomeRiskGPartial,1,20200623,
Finland,Teleworking,1,20200318,20200801
Finland,TeleworkingPartial,1,20200813,
France,ClosDaycare,1,20200316,20200601
France,ClosDaycarePartial,1,20200602,20200622
France,ClosHighPartial,1,20200316,20200622
France,ClosPrimPartial,1,20200316,20200622
France,ClosPubAny,1,20200316,20200510
France,ClosPubAnyPartial,1,20200511,20200622
France,ClosSec,1,20200316,20200510
France,ClosSecPartial,1,20200511,20200622
France,EntertainmentVenues,1,20200316,20200601
France,EntertainmentVenuesPartial,1,20200602,20200622
France,GymsSportsCentres,1,20200316,20200622
France,IndoorOver1000,1,20200229,
France,MasksMandatoryClosedSpaces,1,20200518,
France,MasksVoluntaryAllSpaces,1,20200511,20200725
France,MasksVoluntaryClosedSpaces,1,20200511,20200517
France,MassGatherAll,1,20200229,20200917
France,MassGatherAllPartial,1,20200918,
France,NonEssentialShops,1,20200316,20200510
France,NonEssentialShopsPartial,1,20200511,20200602
France,OutdoorOver1000,1,20200313,20200316
France,OutdoorOver1000,3,20200616,20200711
France,OutdoorOver5,1,20200317,20200615
France,OutdoorOver50,1,20200918,
France,RestaurantsCafes,1,20200316,20200601
France,RestaurantsCafesPartial,1,20200602,20200615
France,StayHomeOrder,1,20200317,20200511
France,StayHomeOrderPartial,1,20200512,20200602
France,Teleworking,1,20200317,20200510
France,TeleworkingPartial,1,20200511,
France,WorkplaceClosures,1,20200317,20200511
Germany,ClosDaycare,1,20200313,20200514
Germany,ClosDaycarePartial,1,20200515,20200701
Germany,ClosPrim,1,20200313,20200503
Germany,ClosPrimPartial,1,20200504,20200629
Germany,ClosPubAny,1,20200316,20200504
Germany,ClosPubAnyPartial,1,20200505,
Germany,ClosSec,1,20200313,20200503
Germany,ClosSecPartial,1,20200504,20200615
Germany,EntertainmentVenues,1,20200316,20200504
Germany,EntertainmentVenuesPartial,1,20200505,
Germany,GymsSportsCentres,1,20200316,20200514
Germany,IndoorOver100,1,20200630,20200928
Germany,IndoorOver1000,1,20200308,20200322
Germany,IndoorOver50,1,20200323,20200629
Germany,IndoorOver50,3,20200929,
Germany,MasksMandatoryClosedSpacesPartial,1,20200427,
Germany,MasksVoluntaryAllSpaces,1,20200402,20200427
Germany,MassGatherAll,1,20200308,20200510
Germany,MassGatherAllPartial,1,20200511,
Germany,NonEssentialShops,1,20200316,20200420
Germany,OutdoorOver100,1,20200630,
Germany,OutdoorOver5,1,20200323,20200629
Germany,RestaurantsCafes,1,20200323,20200504
Germany,RestaurantsCafesPartial,1,20200505,20200608
Germany,SocialCirclePartial,1,20200802,
Germany,StayHomeGen,1,20200317,20200505
Germany,StayHomeGenPartial,1,20200506,20200629
Greece,ClosDaycare,1,20200311,20200601
Greece,ClosHigh,1,20200311,20200524
Greece,ClosHighPartial,1,20200525,
Greece,ClosPrim,1,20200311,20200601
Greece,ClosPubAny,1,20200314,20200503
Greece,ClosPubAnyPartial,1,20200504,
Greece,ClosSec,1,20200311,20200510
Greece,ClosSecPartial,1,20200511,20200518
Greece,EntertainmentVenues,1,20200314,20200517
Greece,EntertainmentVenuesPartial,1,20200518,20200615
Greece,EntertainmentVenuesPartial,3,20200713,
Greece,GymsSportsCentres,1,20200314,20200605
Greece,GymsSportsCentresPartial,1,20200606,20200615
Greece,HotelsOtherAccommodation,1,20200315,20200524
Greece,HotelsOtherAccommodationPartial,1,20200525,20200701
Greece,IndoorOver100,1,20200809,
Greece,IndoorOver5,1,20200319,20200503
Greece,MasksMandatoryClosedSpaces,1,20200428,
Greece,MasksVoluntaryClosedSpaces,1,20200428,20200807
Greece,MassGatherAll,1,20200319,20200503
Greece,MassGatherAll,3,20200809,
Greece,NonEssentialShops,1,20200314,20200503
Greece,NonEssentialShopsPartial,1,20200504,20200601
Greece,OutdoorOver100,1,20200809,
Greece,OutdoorOver5,1,20200319,20200503
Greece,PlaceOfWorship,1,20200314,20200516
Greece,PlaceOfWorshipPartial,1,20200517,20200605
Greece,RestaurantsCafes,1,20200314,20200531
Greece,RestaurantsCafesPartial,1,20200601,
Greece,StayHomeGen,1,20200227,20200322
Greece,StayHomeOrder,1,20200323,20200504
Greece,StayHomeRiskG,1,20200311,
Greece,Teleworking,1,20200319,
Hungary,ClosDaycare,1,20200325,20200602
Hungary,ClosHigh,1,20200325,20200518
Hungary,ClosPrim,1,20200316,20200601
Hungary,ClosPrimPartial,1,20200602,20200626
Hungary,ClosPubAny,1,20200313,20200518
Hungary,ClosPubAny,3,20200921,
Hungary,ClosSec,1,20200316,20200601
Hungary,ClosSecPartial,1,20200602,20200626
Hungary,EntertainmentVenues,1,20200313,20200518
Hungary,EntertainmentVenues,3,20200921,
Hungary,IndoorOver100,1,20200311,20200315
Hungary,IndoorOver5,1,20200316,20200611
Hungary,MasksMandatoryClosedSpaces,1,20200504,
Hungary,MassGatherAll,1,20200311,20200611
Hungary,NonEssentialShops,1,20200328,20200518
Hungary,OutdoorOver5,1,20200316,20200611
Hungary,RestaurantsCafes,1,20200328,20200518
Hungary,StayHomeGen,1,20200321,20200326
Hungary,StayHomeOrder,1,20200327,20200518
Iceland,AdaptationOfWorkplace,1,20200316,
Iceland,ClosHigh,1,20200316,20200504
Iceland,ClosPubAny,1,20200316,20200503
Iceland,ClosPubAnyPartial,1,20200504,20200615
Iceland,ClosPubAnyPartial,3,20200831,
Iceland,ClosSec,1,20200316,20200504
Iceland,EntertainmentVenues,1,20200316,20200503
Iceland,EntertainmentVenuesPartial,1,20200504,20200525
Iceland,EntertainmentVenuesPartial,3,20200831,
Iceland,GymsSportsCentres,1,20200316,20200517
Iceland,GymsSportsCentresPartial,1,20200518,20200615
Iceland,IndoorOver100,1,20200316,20200323
Iceland,IndoorOver100,3,20200731,20200909
Iceland,IndoorOver50,1,20200324,20200525
Iceland,IndoorOver500,1,20200526,20200730
Iceland,IndoorOver500,3,20200910,
Iceland,MasksVoluntaryAllSpacesPartial,1,20200731,
Iceland,MassGatherAll,1,20200316,20200524
Iceland,MassGatherAllPartial,1,20200525,
Iceland,OutdoorOver100,1,20200316,20200323
Iceland,OutdoorOver100,3,20200731,20200907
Iceland,OutdoorOver50,1,20200324,20200525
Iceland,OutdoorOver500,1,20200526,20200730
Iceland,OutdoorOver500,3,20200908,
Iceland,RestaurantsCafes,1,20200316,20200525
Iceland,StayHomeRiskG,1,20200316,
Ireland,ClosDaycare,1,20200312,20200629
Ireland,ClosHigh,1,20200312,
Ireland,ClosPrim,1,20200312,20200824
Ireland,ClosPubAny,1,20200312,20200326
Ireland,ClosPubAny,3,20200606,20200629
Ireland,ClosPubAnyPartial,1,20200327,20200605
Ireland,ClosPubAnyPartial,3,20201006,
Ireland,ClosSec,1,20200312,20200831
Ireland,ClosureOfPublicTransportPartial,1,20200327,20200605
Ireland,EntertainmentVenues,1,20200312,20200629
Ireland,EntertainmentVenues,3,20201006,
Ireland,GymsSportsCentres,1,20200324,20200629
Ireland,GymsSportsCentresPartial,1,20201006,
Ireland,IndoorOver100,1,20200312,20200323
Ireland,IndoorOver5,1,20200324,20200628
Ireland,IndoorOver50,1,20200629,
Ireland,MasksMandatoryClosedSpaces,1,20200629,
Ireland,MasksVoluntaryAllSpaces,1,20200518,
Ireland,MassGatherAll,1,20200312,
Ireland,NonEssentialShops,1,20200324,20200629
Ireland,OutdoorOver5,1,20200324,20200628
Ireland,OutdoorOver50,1,20200824,
Ireland,OutdoorOver500,1,20200312,20200323
Ireland,OutdoorOver500,3,20200629,20200823
Ireland,PlaceOfWorshipPartial,1,20201006,
Ireland,RestaurantsCafes,1,20200324,20200629
Ireland,RestaurantsCafesPartial,1,20201006,
Ireland,StayHomeGen,1,20200324,20200326
Ireland,StayHomeGen,3,20200518,20200626
Ireland,StayHomeGenPartial,1,20200312,20200323
Ireland,StayHomeOrder,1,20200327,20200517
Ireland,StayHomeRiskG,1,20200312,
Ireland,Teleworking,1,20200312,20200607
Ireland,TeleworkingPartial,1,20200608,
Italy,AdaptationOfWorkplace,1,20200310,
Italy,ClosDaycare,1,20200310,20200610
Italy,ClosDaycarePartial,1,20200304,20200309
Italy,ClosDaycarePartial,3,20200611,20200914
Italy,ClosHigh,1,20200310,20200610
Italy,ClosHighPartial,1,20200304,20200309
Italy,ClosHighPartial,3,20200611,20200914
Italy,ClosPrim,1,20200311,20200914
Italy,ClosPrimPartial,1,20200304,20200310
Italy,ClosPubAnyPartial,1,20200310,
Italy,ClosSec,1,20200304,20200616
Italy,ClosSec,3,20200705,20200914
Italy,ClosSecPartial,1,20200617,20200704
Italy,EntertainmentVenues,1,20200310,20200517
Italy,EntertainmentVenuesPartial,1,20200518,20200615
Italy,GymsSportsCentres,1,20200310,20200524
Italy,GymsSportsCentresPartial,1,20200525,
Italy,IndoorOver100,1,20200612,20200806
Italy,IndoorOver500,1,20200807,
Italy,MasksMandatoryAllSpaces,1,20200426,20200714
Italy,MasksMandatoryAllSpaces,3,20200816,20200930
Italy,MasksMandatoryAllSpacesPartial,1,20200715,20200815
Italy,MasksMandatoryClosedSpaces,1,20200414,
Italy,MassGatherAllPartial,1,20200612,
Italy,NonEssentialShops,1,20200310,20200413
Italy,NonEssentialShopsPartial,1,20200414,20200518
Italy,OutdoorOver1000,1,20200807,
Italy,OutdoorOver500,1,20200612,20200806
Italy,PlaceOfWorship,1,20200310,20200615
